DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,1051,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,909,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,861,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,537,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,765,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,1084,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,m,z,858,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,736,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,350,z,m,717,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,m,m,756,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,300,z,m,1018,100,2,z,{SPACE}
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,150,z,z,855,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,716,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,z,z,697,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,673,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,887,0,7,m,z
