TASK_NUMBER,ExperimentName,Subject,CueDur[Trial],RespTARGET.RT[Trial],CORRECT_NUMBER,SOA[Trial],DURATION,CORRECT_RESP
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,100,646,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,646,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,26,150,646,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,350,646,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,350,647,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,100,647,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,24,350,647,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,647,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,647,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,647,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,647,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,350,647,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,100,647,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,100,647,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,150,647,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,100,647,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,6,150,647,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,12,300,647,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,16,150,647,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,27,350,647,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,647,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,647,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,20,100,647,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,20,150,647,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,647,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,647,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,150,647,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,300,647,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,150,647,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,150,647,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,150,647,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,647,z,100,LONG,1
