TASK_NUMBER,ExperimentName,Subject,CueDur[Trial],RespTARGET.RT[Trial],CORRECT_NUMBER,SOA[Trial],DURATION,CORRECT_RESP
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,4,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,13,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,21,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,43,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,47,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,59,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,60,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,63,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,64,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,300,71,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,76,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,92,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,350,108,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,118,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,100,120,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,120,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,121,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,122,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,125,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,100,129,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,129,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,130,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,136,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,136,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,140,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,145,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,150,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,300,151,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,151,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,151,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,152,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,153,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,154,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,156,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,158,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,159,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,164,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,165,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,169,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,171,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,172,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,173,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,175,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,177,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,179,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,180,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,181,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,183,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,191,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,192,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,192,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,192,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,194,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,100,194,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,194,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,350,201,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,203,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,208,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,208,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,209,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,210,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,150,212,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,214,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,215,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,215,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,217,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,217,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,218,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,218,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,100,218,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,218,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,220,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,350,224,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,350,225,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,225,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,227,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,228,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,300,228,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,230,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,230,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,231,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,231,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,232,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,232,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,233,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,234,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,235,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,100,235,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,236,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,150,238,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,241,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,242,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,245,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,247,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,247,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,247,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,247,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,248,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,248,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,100,248,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,249,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,249,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,249,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,251,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,251,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,100,251,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,253,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,253,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,253,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,254,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,254,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,254,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,254,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,350,255,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,255,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,300,255,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,300,257,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,257,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,258,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,150,258,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,259,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,259,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,259,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,259,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,261,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,261,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,300,262,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,300,262,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,263,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,150,263,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,2,300,265,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,266,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,266,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,267,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,267,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,268,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,268,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,270,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,300,271,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,272,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,150,272,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,273,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,273,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,100,273,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,274,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,100,274,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,274,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,350,274,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,100,275,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,276,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,276,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,276,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,277,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,150,277,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,277,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,278,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,278,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,278,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,280,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,280,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,350,280,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,300,281,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,281,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,282,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,284,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,284,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,284,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,284,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,100,285,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,285,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,300,285,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,286,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,286,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,288,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,288,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,288,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,7,300,288,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,288,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,288,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,350,288,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,350,288,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,289,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,350,289,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,289,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,150,290,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,290,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,291,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,291,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,292,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,292,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,292,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,292,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,292,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,300,293,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,293,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,293,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,293,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,6,350,293,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,350,294,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,350,294,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,150,294,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,300,295,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,100,295,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,295,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,296,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,296,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,296,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,296,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,100,296,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,100,296,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,296,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,296,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,296,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,296,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,18,150,296,z,100,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,296,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,350,297,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,350,297,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,297,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,297,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,298,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,100,298,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,100,298,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,150,298,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,300,299,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,299,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,300,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,300,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,300,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,150,300,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,300,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,100,300,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,300,m,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,300,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,350,301,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,350,301,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,16,100,301,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,100,301,m,100,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,350,301,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,350,302,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,302,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,150,302,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,302,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,350,302,z,100,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,150,302,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,303,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,303,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,29,300,303,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,304,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,304,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,304,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,6,350,304,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,305,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,150,305,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,150,305,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,305,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,306,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,150,306,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,350,306,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,350,306,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,350,306,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,306,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,306,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,150,307,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,100,307,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,100,307,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,307,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,308,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,308,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,308,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,23,350,308,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,308,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,308,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,308,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,31,300,309,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,13,300,309,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,350,309,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,100,309,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,1,300,309,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,2,300,309,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,300,309,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,2,150,310,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,23,150,310,m,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,150,310,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,150,310,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,21,350,310,m,0,LONG,1
